timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032659917,58,Płatność-2,301,Moved Permanently,Stress test 1-68,text,true,,1471,127,33,33,https://www.policzona-szama.pl/,58,0,0
1681032659975,112,Płatność-3,200,OK,Stress test 1-68,text,true,,407787,123,33,33,https://policzona-szama.pl/,69,0,0
1681032660486,255,Trzecia patelnia,200,OK,Stress test 1-52,text,true,,277584,400,32,32,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,145,0,0
1681032660486,145,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-52,text,true,,1473,202,32,32,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,145,0,0
1681032660631,110,Trzecia patelnia-1,200,OK,Stress test 1-52,text,true,,276111,198,32,32,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,71,0,0
1681032660628,201,Trzecia patelnia,200,OK,Stress test 1-54,text,true,,277571,400,32,32,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,104,0,0
1681032660628,104,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-54,text,true,,1469,202,32,32,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,104,0,0
1681032660732,97,Trzecia patelnia-1,200,OK,Stress test 1-54,text,true,,276102,198,32,32,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,64,0,0
1681032660850,541,Płatność,200,OK,Stress test 1-70,text,true,,419529,601,32,32,https://policzona-szama.pl/,148,0,0
1681032660850,148,Płatność-0,302,Found,Stress test 1-70,text,true,,5649,179,32,32,http://www.policzona-szama.pl/checkouts/c/51608f50db182e906ccf333cf2366e89/payment,148,0,0
1681032660998,134,Płatność-1,302,Found,Stress test 1-70,text,true,,4597,172,32,32,http://www.policzona-szama.pl/checkouts/sh/88332f9c6b576240c08c64efec881e56,134,0,0
1681032661132,47,Płatność-2,301,Moved Permanently,Stress test 1-70,text,true,,1469,127,32,32,https://www.policzona-szama.pl/,47,0,0
1681032661179,212,Płatność-3,200,OK,Stress test 1-70,text,true,,407814,123,32,32,https://policzona-szama.pl/,81,0,0
1681032662343,290,Przyprawy,200,OK,Stress test 1-21,text,true,,269056,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,173,0,71
