timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032635041,114,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-25,text,true,,1465,202,44,44,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,114,0,0
1681032635155,178,Trzecia patelnia-1,200,OK,Stress test 1-25,text,true,,276108,198,44,44,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,168,0,0
1681032635693,208,Trzecia patelnia,200,OK,Stress test 1-21,text,true,,277562,400,44,44,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,110,0,0
1681032635693,110,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-21,text,true,,1465,202,44,44,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,110,0,0
1681032635803,98,Trzecia patelnia-1,200,OK,Stress test 1-21,text,true,,276097,198,44,44,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,60,0,0
1681032635571,541,Płatność,200,OK,Stress test 1-32,text,true,,419503,601,44,44,https://policzona-szama.pl/,260,0,0
1681032635571,260,Płatność-0,302,Found,Stress test 1-32,text,true,,5659,179,44,44,http://www.policzona-szama.pl/checkouts/c/51608f50db182e906ccf333cf2366e89/payment,260,0,0
1681032635831,133,Płatność-1,302,Found,Stress test 1-32,text,true,,4599,172,44,44,http://www.policzona-szama.pl/checkouts/sh/21a3be6d52827acf0c05025ef6258c3b,133,0,0
1681032635964,51,Płatność-2,301,Moved Permanently,Stress test 1-32,text,true,,1471,127,44,44,https://www.policzona-szama.pl/,51,0,0
1681032636015,97,Płatność-3,200,OK,Stress test 1-32,text,true,,407774,123,44,44,https://policzona-szama.pl/,58,0,0
1681032637464,214,Trzecia patelnia,200,OK,Stress test 1-26,text,true,,277579,400,43,43,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,117,0,0
1681032637464,117,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-26,text,true,,1468,202,43,43,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,117,0,0
1681032637581,97,Trzecia patelnia-1,200,OK,Stress test 1-26,text,true,,276111,198,43,43,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,56,0,0
